[12:21] 各位线上的朋友大家午安
[12:22] 欢迎来到数位时代
[12:24] All in AI直播论坛
[12:26] 我是总编辑王志仁
[12:27] 在我们日常的生活跟工作当中
[12:32] 过去这三年
[12:33] 以及现在的每一天跟接下来每一天
[12:36] 我们都不断接收各种AI相关的这些讯息
[12:39] 那不管来自于新创
[12:41] 不管来自于大企业
[12:42] 不管来自于很多的AI的工具
[12:44] AI专案的导入
[12:46] 追求成效
[12:47] 以及这些不断的新闻的更新等等
[12:50] 那我常开玩笑说
[12:52] 这是一个肾上腺素跟多巴胺不断的交付
[12:55] 产生在焦虑跟兴奋之间
[12:58] 那当然在这里面
[12:59] 我们在今天的这个论坛主题
[13:02] 谈的是AI
[13:03] 但是我们更关注的是说
[13:05] 在目前这些AI的使用经验当中
[13:08] 有经验的
[13:10] 以及能够在工作当中
[13:11] 产生实际成效的这些案例
[13:14] 我们可以从中学到什么
[13:15] 那所以今天呢
[13:17] 我们盘点AI成效
[13:18] 好像百分之一的超级使用者取经
[13:20] 那在整个这个活动呢
[13:23] 其实是我们在今年第二季的一个
[13:25] 专案的整体的一个规划
[13:27] 包含我们在四月份的杂志封面故事
[13:29] 全球AI100跟台湾AI20
[13:32] 那里面帮大家盘点了100家跟20家
[13:36] 现在最值得关注
[13:38] 以及在各个AI的领域里面
[13:39] 发展最迅猛
[13:40] 使用最普及的这些公司的现况
[13:43] 那以及就是说
[13:44] 我们在今天这个论坛里面
[13:46] 会跟大家来交流许多企业现在实际
[13:48] 导入AI使用的这个经验
[13:51] 那包含在下个月五月份
[13:52] 我们会有一系列的AI新职人的这个工作的故事
[13:56] 那从实际的工作现场当中的一些发生的事情
[14:00] 来跟大家交流
[14:02] 以及我们在六月份
[14:03] 六月底的时候
[14:04] 我们会有AI台湾未来商务展
[14:06] 那在这个展会里面我们会有全系列的AI解放的这个展示
[14:10] 所以今天第二季度就是我们的AI整个重点的月份
[14:15] 那希望透过这刚才提到的几个专案里面的这些各个工作的这个项目
[14:21] 来跟大家进一步绑定AI这里面究竟我们可以关注的这些议题是什么
[14:27] 好那就是在这个过程当中当然就是说
[14:32] 主要的目的从观念到行动到落地到经验这个总结
[14:37] 到包含我们看到除了案例之外
[14:39] 就是也希望能够大家可以有实际的这个展会上面的这个解方的这个现场这些了解
[14:45] 其实是我们在整个All in AI这个专案里面希望能够完成的
[14:49] 那回到今天这个论坛的部分
[14:51] 我们会有三个环节
[14:54] 那首先会由我这边来开场做一个简单的介绍
[14:57] 那重头戏会在我们接下来两位讲者
[15:00] 邀请到就是Google前台湾董事总经理简利峰
[15:03] 那以及就是BCG波士顿顾问公司的董事总经理
