[00:12:21] 各位線上的朋友大家午安
[00:12:22] 歡迎來到數位時代
[00:12:24] All in AI直播論壇
[00:12:26] 我是總編輯王志仁
[00:12:27] 在我們日常的生活跟工作當中
[00:12:32] 過去這三年
[00:12:33] 以及現在的每一天跟接下來每一天
[00:12:36] 我們都不斷接收各種AI相關的這些訊息
[00:12:39] 那不管來自於新創
[00:12:41] 不管來自於大企業
[00:12:42] 不管來自於很多的AI的工具
[00:12:44] AI專案的匯入
[00:12:46] 追求成效
[00:12:47] 以及這些不斷的新聞的更新等等
[00:12:50] 那我常開玩笑說
[00:12:52] 這是一個腎上腺素跟多巴胺不斷的交付
[00:12:55] 產生在焦慮跟興奮之間
[00:12:58] 那當然在這裡面
[00:12:59] 我們在今天的這個論壇主題
[00:13:02] 談的是AI
[00:13:03] 但是我們更關注的是說
[00:13:05] 在目前這些AI的使用經驗當中
[00:13:08] 有經驗的
[00:13:10] 以及能夠在工作當中
[00:13:11] 產生實際成效的這些案例
[00:13:14] 我們可以從中學到什麼
[00:13:15] 那所以今天呢
[00:13:17] 我們盤點AI成效
[00:13:18] 好像百分之一的超級使用者取經
[00:13:20] 那在整個這個活動呢
[00:13:23] 其實是我們在今年第二季的一個
[00:13:25] 專案的整體的一個規劃
[00:13:27] 包含我們在四月份的雜誌封面故事
[00:13:29] 全球AI100跟臺灣AI20
[00:13:32] 那裡面幫大家盤點了100家跟20家
[00:13:36] 現在最值得關注
[00:13:38] 以及在各個AI的領域裡面
[00:13:39] 發展最迅猛
[00:13:40] 使用最普及的這些公司的現況
[00:13:43] 那以及就是說
[00:13:44] 我們在今天這個論壇裡面
[00:13:46] 會跟大家來交流許多企業現在實際
[00:13:48] 匯入AI使用的這個經驗
[00:13:51] 那包含在下個月五月份
[00:13:52] 我們會有一系列的AI新職人的這個工作的故事
[00:13:56] 那從實際的工作現場當中的一些發生的事情
[00:14:00] 來跟大家交流
[00:14:02] 以及我們在六月份
[00:14:03] 六月底的時候
[00:14:04] 我們會有AI臺灣未來商務展
[00:14:06] 那在這個展會里面我們會有全系列的AI解放的這個展示
[00:14:10] 所以今天第二季度就是我們的AI整個重點的月份
[00:14:15] 那希望透過這剛才提到的幾個專案裡面的這些各個工作的這個專案
[00:14:21] 來跟大家進一步繫結AI這裡面究竟我們可以關注的這些議題是什麼
[00:14:27] 好那就是在這個過程當中當然就是說
[00:14:32] 主要的目的從觀念到行動到落地到經驗這個總結
[00:14:37] 到包含我們看到除了案例之外
[00:14:39] 就是也希望能夠大家可以有實際的這個展會上面的這個解方的這個現場這些瞭解
